1571473111,0,4,1,"C7,C10,CA,C2;S5,S3,S9,S8;SK,SQ,S6,S4;CQ,C3,C8,C4;SA,S10,C6,S2;D4,D10,D2,D3;CJ,D9,CK,C9;D5,S7,DQ,SJ;D6,DA,DK,D7;H2,D8,DJ,C5;HQ,H4,H7,H5;HA,H9,HJ,H8;H6,HK,H10,H3"
1571473111,0,0,1,"CK,CQ,C10,C2;S2,S7,SK,S4;S5,SA,S10,S6;C5,C6,S8,S3;SQ,CJ,C8,S9;CA,D7,C3,C4;D9,DA,DQ,D2;C7,D3,D8,SJ;D6,D5,D10,D4;DJ,C9,H6,DK;H10,H2,HK,H5;H9,HJ,H4,HQ;H7,H3,H8,HA"
1571473111,0,0,1,"C10,C6,CK,C2;S3,S7,SA,S2;S9,SQ,S6,S4;C8,CQ,C4,C3;S8,C7,SK,S10;DQ,C5,C9,S5;DA,D4,D3,SJ;H5,D5,D6,CJ;H7,D7,D8,CA;HA,D9,DJ,D2;DK,H10,HQ,D10;H8,H3,HJ,H6;HK,H9,H4,H2"
