1571802206,3,13,2,"CA,C10,CJ,C2;CK,C7,C8,C9;C6,DA,CQ,C3;D7,D6,D10,D2;DK,D3,DJ,D5;SQ,C4,D8,D4;SA,S7,S6,S8;H10,HA,HK,D9;H8,HQ,H9,DQ;S2,SJ,SK,S4;HJ,H7,S3,H6;H3,S9,H5,S10;C5,S5,H2,H4"
1571802206,3,0,2,"CJ,CK,CQ,C2;DA,D6,D8,D3;CA,C4,D10,C5;C10,D9,C7,C3;D7,SQ,C9,C6;HK,HA,DK,C8;D5,H8,DJ,D2;SK,S7,S10,S2;H10,H7,HQ,D4;H6,H5,H9,DQ;H3,S3,S4,HJ;SA,S8,S6,S9;S5,SJ,H4,H2"
1571802206,3,14,2,"CA,C9,C10,C2;CK,C8,CQ,C4;C7,C6,DA,CJ;D7,D10,DK,D2;DJ,D3,D5,D4;D6,C5,D8,D9;SA,S8,SJ,S3;HJ,DQ,SQ,C3;S7,HK,SK,S2;S9,H9,H10,S10;S4,H7,H4,H8;S5,H5,H6,HQ;S6,H3,H2,HA"
