1571802815,3,8,0,"CJ,C7,CQ,C2;CK,C9,CA,C5;C10,SQ,C4,C6;DJ,C3,DA,C8;D10,D5,DK,D2;DQ,D7,D4,D9;D6,D3,HK,D8;SJ,S7,SK,S2;H10,H2,HQ,H6;HJ,H7,HA,H5;SA,S9,S10,S3;H4,S4,S6,H9;H3,S5,S8,H8"
1571802815,3,4,0,"C9,CJ,CK,C2;CA,C8,C6,C7;DK,C3,SQ,C4;DQ,C5,D6,C10;DJ,DA,D4,CQ;D3,D9,HK,D2;HJ,H5,H2,H4;S7,SK,S2,S4;HA,S5,H3,H8;S8,HQ,H10,H9;D10,D7,SA,D5;H7,S9,D8,H6;SJ,S3,S10,S6"
1571802815,3,17,0,"CA,C8,CQ,C2;C6,C3,C7,C9;C5,CJ,DK,CK;D4,D6,D9,D2;DJ,C4,DA,D3;HA,SQ,H9,C10;H6,H3,H5,H4;D10,SA,DQ,D5;D7,H2,S5,H10;S3,HK,S6,HQ;S9,H7,S7,HJ;S10,S2,S8,H8;SJ,S4,SK,D8"
